20 1 12 1980 -3 3750 1 -4 11 1 35 2 -4 -4 -4 -4 -5 -5 -5 -5 -4 -4 -4 -4 -5 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 300 -4 4 -4 0 14 0 17 -4 -4
21 1 8 1982 0 7500 1 -4 13 2 35 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 6000 0 6 11 0 16 0 18 -4 -4
22 1 6 1982 -3 7500 1 -4 11 2 35 2 -4 -4 -4 -4 -5 -5 -5 -4 -4 -4 -4 -4 -5 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 100 6 11 0 16 0 18 -4 -4
23 2 1 1983 -3 7500 1 -4 10 2 35 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 30000 -4 -4 -4 40000 -4 -4 -4 40000 -4 -4 -4 -4 -4 -4 -4 5000 31750 6 12 47500 16 50000 19 -4 -4
24 1 6 1984 -3 7500 1 13 7 2 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 450 8 13 0 17 0 20 -4 -4
25 2 3 1983 0 7500 1 12 12 2 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 7 12 0 16 5000 19 -4 -4
26 1 10 1980 -3 7500 1 -4 12 1 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 4 9 0 14 0 17 0 20
27 1 5 1981 -3 7500 1 -4 10 1 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 5 10 0 15 0 18 0 20
28 2 11 1983 13000 7500 1 16 12 1 35 1 15000 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 15000 0 7 12 0 16 900 19 -4 -4
29 2 1 1983 -3 3750 1 -3 -3 4 35 2 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
30 1 6 1981 -3 -3 1 -3 -3 4 35 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
31 1 7 1982 -4 -4 1 12 12 4 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 10000 -4 -4 -4 10000 -4 -4 -4 5000 -4 -4 -4 -4 -4 -4 -4 0 10500 6 11 10000 16 25000 18 -4 -4
32 2 7 1981 -4 -4 1 16 16 4 35 1 -4 -4 -4 -4 -5 -5 -5 -5 -4 -4 -4 -4 -5 -5 -4 -4 -4 7 90000 -4 -4 -4 -2 -4 -4 8 100000 -4 -4 -4 0 50001 5 12 140000 15 108001 18 160000 20
